Percentile,21-Jan-Shift1-Marks,21-Jan-Shift2-Marks,22-Jan-Shift1-Marks,22-Jan-Shift2-Marks,23-Jan-Shift1-Marks,23-Jan-Shift2-Marks,24-Jan-Shift1-Marks,24-Jan-Shift2-Marks,28-Jan-Shift1-Marks,28-Jan-Shift2-Marks,Exam-Total-Marks
99,63,66,56,58,60,69,69,59,65,67,100
98.5,60,61,51,53,55,63,66,54,59,63,100
98,59,60,50,50,53,60,64,52,55,60,100
97.5,55,56,46,46,48,56,,47,53,58,100
97,52,54,43,45,46,55,59,45,51,57,100
96.5,51,52,41,43,43,51,56,43,49,54,100
96,50,51,40,41,41,48,55,41,48,53,100
95.5,48,47,38,40,40,47,53,40,46,50,100
95,47,46,37,38,39,45,50,38,45,49,100
94,44,44,34,37,35,42,49,37,42,47,100
93,42,41,32,34,33,40,47,36,40,43,100
92,40,39,30,32,32,38,45,32,39,40,100
91,39,37,28,31,30,36,43,31,38,39,100
90,37,36,27,29,27,34,41,30,35,37,100
