Percentile,21-Jan-Shift1-Marks,21-Jan-Shift2-Marks,22-Jan-Shift1-Marks,22-Jan-Shift2-Marks,23-Jan-Shift1-Marks,23-Jan-Shift2-Marks,24-Jan-Shift1-Marks,24-Jan-Shift2-Marks,28-Jan-Shift1-Marks,28-Jan-Shift2-Marks,Exam-Total-Marks
99,48,47,50,38,44,43,36,47,40,43,100
98.5,43,42,43,34,39,38,34,41,35,38,100
98,40,36,38,32,35,33,31,38,31,37,100
97.5,37,33,34,30,33,32,28,34,30,31,100
97,36,32,32,29,32,31,26,31,28,29,100
96.5,34,29,29,28,29,29,25,30,27,28,100
96,33,28,28,27,27,28,24,28,26,27,100
95.5,31,27,26,25,26,27,23,27,25,26,100
95,30,24,25,24,25,26,22,26,24,25,100
94,27,23,23,22,24,24,20,24,23,23,100
93,26,21,21,21,23,22,19,23,22,22,100
92,24,20,20,20,21,21,18,22,21,21,100
91,23,19,19,19,20,20,17,20,20,19,100
90,22,18,18,18,19,19,16,19,19,18,100
