Percentile,21-Jan-Shift1-Marks,21-Jan-Shift2-Marks,22-Jan-Shift1-Marks,22-Jan-Shift2-Marks,23-Jan-Shift1-Marks,23-Jan-Shift2-Marks,24-Jan-Shift1-Marks,24-Jan-Shift2-Marks,28-Jan-Shift1-Marks,28-Jan-Shift2-Marks,Exam-Total-Marks
99,70,74,70,72,71,68,69,72,73,68,100
98.5,67,70,67,71,68,64,65,67,69,64,100
98,62,67,64,70,66,63,62,61,66,60,100
97.5,60,64,61,63,65,59,60,60,63,58,100
97,58,63,60,61,60,55,59,57,60,55,100
96.5,55,59,59,60,59,53,54,55,58,53,100
96,53,58,58,58,58,51,52,53,56,51,100
95.5,51,55,54,57,56,49,50,52,54,49,100
95,49,54,51,56,55,48,48,51,52,48,100
94,47,49,49,52,49,44,45,46,49,45,100
93,44,47,45,50,47,42,42,42,45,43,100
92,42,44,44,49,44,40,41,41,44,41,100
91,40,42,40,48,41,38,37,40,41,39,100
90,37,39,37,43,40,37,36,39,39,37,100
